,link,genre,company,country,language,keywords
19,Max-Steel#tab=summary,"['Action', 'Action']","['Paramount Pictures', 'Dolphins Films', 'Mattel Entertainment', 'Ingenious Media', 'Paramount Pictures', 'Dolphins Films', 'Mattel Entertainment', 'Ingenious Media']",United States,"['English', 'English']","['Friendly Alien on Earth', 'Origin Story', 'Single Parent', 'Father’s Footsteps', 'Development Hell', 'Friendly Alien on Earth', 'Origin Story', 'Single Parent', 'Father’s Footsteps', 'Development Hell']"
20,Everybody-Wants-Some#tab=summary,['Comedy'],"['Paramount Pictures', 'Annapurna Pictures', 'Detour Filmproduction']",United States,['English'],"['College', '1980s', 'College Sports', 'Baseball', 'Intertitle', 'Romance', 'Relationships Gone Wrong', 'Relationship Advice', 'Hazing', 'Pregnancy Scare']"
21,Crash-(1996)#tab=summary,['Thriller/Suspense'],"['Fine Line Features', 'Alliance Communications']",Canada,['English'],"['Sexual Fetishism', 'Erotic Thriller', 'Erotic Drama']"
22,Atlas-Shrugged-Part-II#tab=summary,"['Drama', 'Drama']","['Harmon Kaslow & John Aglialoro Prods', 'Harmon Kaslow & John Aglialoro Prods']",United States,"['English', 'English']","['Political', 'Agitprop', 'Sequel With Lead Character Recast', 'Sequels Without Their Original Stars', 'Dystopia', 'Non-Chronological', 'Infidelity', 'Blackmail', 'Government Corruption', 'Cliffhanger Ending', 'Intertitle', 'Political', 'Agitprop', 'Sequel With Lead Character Recast', 'Sequels Without Their Original Stars', 'Dystopia', 'Non-Chronological', 'Infidelity', 'Blackmail', 'Government Corruption', 'Cliffhanger Ending', 'Intertitle']"
23,Romeo-Is-Bleeding#tab=summary,"['Drama', 'Drama']",[],United Kingdom,[],"['Mafia', 'Erotic Drama', 'Mafia', 'Erotic Drama']"
24,Limey-The#tab=summary,"['Drama', 'Drama']",[],United States,"['English', 'English']","['Film Noir', 'Film Noir']"
25,Rosewater#tab=summary,['Drama'],['Busboy'],United States,"['English', 'Farsi', 'Persian']","['Prologue', 'Intertitle', 'Set in Iran', 'Non-Chronological', 'Government Corruption', 'Investigative Journalist', 'Political Campaign', 'Civil Disobedience', 'News', 'Hallucinations', 'Prison', 'Cruel Wardens or Prison Guards', 'Biography', 'Autobiographical', 'Epilogue', 'Voiceover/Narration', 'Digital Cinematography']"
26,House-of-Mirth-The#tab=summary,"['Drama', 'Drama']","['Granada Productions', 'Three Rivers Productions', 'Arts Council of England', 'FilmFour', 'Scottish Arts Council', 'Showtime Network', 'Glasgow Film Fund', 'Diaphana', 'Progress Film Distribution', 'Kinowelt Filmproduction', 'Granada Productions', 'Three Rivers Productions', 'Arts Council of England', 'FilmFour', 'Scottish Arts Council', 'Showtime Network', 'Glasgow Film Fund', 'Diaphana', 'Progress Film Distribution', 'Kinowelt Filmproduction']",United Kingdom,[],[]
27,Malone#tab=summary,"['Action', 'Action']",[],United States,"['English', 'English']",[]
28,Peaceful-Warrior#tab=summary,['Drama'],[],United States,[],[]
29,Bucky-Larson-Born-to-Be-a-Star#tab=summary,"['Comedy', 'Comedy']","['Columbia Pictures', 'Happy Madison', 'Columbia Pictures', 'Happy Madison']",United States,"['English', 'English']","['Porn Business', 'Delayed Adulthood', 'Country Mouse, City Mouse', 'Porn Business', 'Delayed Adulthood', 'Country Mouse, City Mouse']"
30,Hillsong-Let-Hope-Rise#tab=summary,['Documentary'],"['Grace Hill Media', 'Pure Flix', 'Media Weaver Entertainment']",United States,['English'],"['Faith-Based Film', 'Christian Contemporary Music']"
31,Bamboozled#tab=summary,"['Drama', 'Drama']","['New Line Cinema', '40 Acres and a Mule Filmworks', 'New Line Cinema', '40 Acres and a Mule Filmworks']",United States,"['English', 'English']","['TV Industry', 'African Americans', 'Animated Sequences', 'TV Industry', 'African Americans', 'Animated Sequences']"
32,Sphinx#tab=summary,"['Thriller/Suspense', 'Thriller/Suspense']",[],United States,"['English', 'English']",[]
33,Iceman-The#tab=summary,['Drama'],"['Millennium Films', 'Ehud Bleiberg']",United States,['English'],"['Hitmen', 'Inspired by a True Story', 'Organized Crime', 'Ensemble', 'Double Life']"
34,Testament-of-Youth#tab=summary,"['Drama', 'Drama']","['BBC Films', 'Heyday Films', 'Screen Yorkshire', 'BFI', 'Hotwells Productions', 'Nordisk Film', 'Lipsync Productions', 'BBC Films', 'Heyday Films', 'Screen Yorkshire', 'BFI', 'Hotwells Productions', 'Nordisk Film', 'Lipsync Productions']",United Kingdom,"['English', 'English']","['Coming of Age', 'Non-Chronological', 'Death of a Sibling', '1910s', 'Nurse', 'Historical Drama', 'World War I', 'Coming of Age', 'Non-Chronological', 'Death of a Sibling', '1910s', 'Nurse', 'Historical Drama', 'World War I']"
35,Free-Fire#tab=summary,"['Action', 'Action']","['Film4', 'BFI', 'Rook Films', 'Film4', 'BFI', 'Rook Films']",United Kingdom,"['English', 'English']","['Gangs', 'Gunrunner', 'One Location', 'No Honor Among Thieves', '1970s', 'Set in Boston', 'Ensemble', 'Betrayal', 'Terrorism', 'Surprise Twist', 'Domestic Abuse', 'Revenge', 'Shootout', 'Gangs', 'Gunrunner', 'One Location', 'No Honor Among Thieves', '1970s', 'Set in Boston', 'Ensemble', 'Betrayal', 'Terrorism', 'Surprise Twist', 'Domestic Abuse', 'Revenge', 'Shootout']"
36,Better-Life-A#tab=summary,['Drama'],"['Summit Entertainment', 'Lime Orchard Productions', 'Witt/Thomas Productions', 'Depth of Field', 'McLaughlin Films']",United States,"['English', 'Spanish']","['Immigration', 'Gangs', 'Coming of Age', 'Romance']"
37,Spider#tab=summary,"['Drama', 'Drama']",[],Canada,[],[]
38,Gun-Shy#tab=summary,"['Comedy', 'Comedy']",[],United States,"['English', 'English']","['Mafia', 'Mafia']"
39,Nicholas-Nickleby#tab=summary,"['Drama', 'Drama']",[],United States,[],[]
40,Joneses-The#tab=summary,[],[],United States,"['English', 'English']",[]
41,Krrish#tab=summary,"['Action', 'Action']",[],India,[],[]
42,Killer-Joe#tab=summary,['Black Comedy'],"['Voltage Pictures', 'Worldview Entertainment', 'Picture Perfect Corporation', 'Ana Media']",United States,['English'],"['Novel or Other Work Adapted by Author', 'Corrupt Cops', 'Hitmen', 'Film Noir', 'Narcotics', 'Dysfunctional Family', 'Sex Crimes', 'Addiction', 'Dream Sequence']"
43,Churchill-(UK)#tab=summary,"['Drama', 'Drama']","['Cohen Media Group', 'Silver Reel Entertainment', 'Salon   ', 'Tempo Productions', 'Embankment Films', 'Lipsync Productions', 'Creative Scotland', 'Headgear Films', 'Metrol Technology', 'Cohen Media Group', 'Silver Reel Entertainment', 'Salon   ', 'Tempo Productions', 'Embankment Films', 'Lipsync Productions', 'Creative Scotland', 'Headgear Films', 'Metrol Technology']",United Kingdom,"['English', 'English']","['1940s', 'World War II', 'Biography', 'Politicians', 'Set in United Kingdom', '1940s', 'World War II', 'Biography', 'Politicians', 'Set in United Kingdom']"
44,Cecil-B-Demented#tab=summary,['Black Comedy'],[], ,[],['Film Noir']
45,50-to-1#tab=summary,['Drama'],['Ten Furlongs'],United States,['English'],"['Horse Racing', 'Underdog', 'Road Trip', 'Cowboys']"
46,Owning-Mahowny#tab=summary,"['Drama', 'Drama']",[],Canada,"['English', 'English']",[]
47,Ten-Commandments-The-(2007)#tab=summary,"['Adventure', 'Adventure']",[],United States,[],"['Religious', 'Religious']"
48,Brothers-Solomon-The#tab=summary,"['Comedy', 'Comedy']","['Revolution Studios', 'Revolution Studios']", ,[],"['Delayed Adulthood', 'Delayed Adulthood']"
49,My-Blueberry-Nights#tab=summary,"['Drama', 'Drama']",[],France,[],[]
50,Illuminata#tab=summary,"['Drama', 'Drama']",[],Spain,[],[]
51,Coriolanus#tab=summary,"['Drama', 'Drama']","['Artemis Prods', 'Hemetof Pictures', 'BBC Films', 'Lonely Dragon', 'Artemis Prods', 'Hemetof Pictures', 'BBC Films', 'Lonely Dragon']",United Kingdom,"['English', 'English']","['Directing Yourself', 'War', 'Political', 'Revenge', 'Modern Adaptation', 'Banishment', 'Suicide', 'Dysfunctional Family', 'Directing Yourself', 'War', 'Political', 'Revenge', 'Modern Adaptation', 'Banishment', 'Suicide', 'Dysfunctional Family']"
52,Our-Friend-(2020)#tab=summary,"['Drama', 'Drama']","['Black Bear', 'Scott Free Films', 'Gravitas Ventures', 'Black Bear', 'Scott Free Films', 'Gravitas Ventures']",United States,"['English', 'English']","['Comedy Drama', 'Terminal Illness', 'Comedy Drama', 'Terminal Illness']"
53,Parkland#tab=summary,"['Drama', 'Drama']","['Exclusive Media Group', 'The American Film Co', 'Millennium Entertainment', 'Playtone', 'Exclusive Media Group', 'The American Film Co', 'Millennium Entertainment', 'Playtone']",United States,"['English', 'English']","['Political', 'Assassination', 'Ensemble', 'Gratuitous Cameos', 'Political', 'Assassination', 'Ensemble', 'Gratuitous Cameos']"
54,Swept-Away#tab=summary,"['Romantic Comedy', 'Romantic Comedy']","['Screen Gems', 'SKA Films', 'Codi SpA', 'Screen Gems', 'SKA Films', 'Codi SpA']",Italy,"['English', 'Greek', 'Italian', 'English', 'Greek', 'Italian']","['Marooned', 'Romance', 'Marooned', 'Romance']"
55,War-Inc#tab=summary,['Black Comedy'],[],United States,[],"['Hitmen', 'Political', 'Musicians', 'War', 'News', 'Revenge', 'Surprise Twist']"
56,Shaolin-Soccer#tab=summary,"['Comedy', 'Comedy']",[],China,"['Cantonese', 'Mandarin', 'Cantonese', 'Mandarin']","['Wire Fu', 'Soccer', 'Foreign Language', 'Wire Fu', 'Soccer', 'Foreign Language']"
57,Brown-Bunny-The#tab=summary,['Drama'],[], ,[],[]
58,King-of-California#tab=summary,"['Drama', 'Drama']",[],United States,[],[]
59,Rien-ne-va-plus#tab=summary,"['Comedy', 'Comedy']",[], ,[],[]
60,Femme-de-chambre-du-Titanic-La#tab=summary,"['Drama', 'Drama']",[],English,"['English', 'French', 'English', 'French']",[]
61,Imaginary-Heroes#tab=summary,"['Drama', 'Drama']",[],United States,[],"['Dysfunctional Family', 'Dysfunctional Family']"
62,High-Heels-and-Low-Lifes#tab=summary,"['Comedy', 'Comedy']",[], ,[],"['Action Comedy', 'Confidence Men', 'Action Comedy', 'Confidence Men']"
63,Worlds-Greatest-Dad#tab=summary,"['Black Comedy', 'Black Comedy']",[],United States,"['English', 'English']",[]
64,Cinco-de-Mayo-La-Batalla#tab=summary,"['Action', 'Action']","['Gala Films', 'Gala Films']",Mexico,"['English', 'French', 'Spanish', 'English', 'French', 'Spanish']","['Hispanic', 'War', 'Romance', 'Historical Battles', 'Pantelion Films', 'Hispanic', 'War', 'Romance', 'Historical Battles', 'Pantelion Films']"
65,Welcome-to-the-Rileys#tab=summary,"['Drama', 'Drama']","['Scott Free Films', 'Argonaut Pictures', 'Scott Free Films', 'Argonaut Pictures']",United States,"['English', 'English']","['Dysfunctional Family', 'Prostitution', 'Mental Illness', 'Unexpected Families', 'Dysfunctional Family', 'Prostitution', 'Mental Illness', 'Unexpected Families']"
66,Kicks#tab=summary,"['Adventure', 'Adventure']","['Focus World', 'Animal Kingdom', 'Northern Lights Films', 'Focus World', 'Animal Kingdom', 'Northern Lights Films']",United States,"['English', 'English']","['Bullies', 'Coming of Age', 'Bullies', 'Coming of Age']"
67,Free-Style#tab=summary,[],[],United States,"['English', 'English']",[]
68,High-School#tab=summary,"['Comedy', 'Comedy']","['Parallel Media', 'Flipside', 'Zero Hour', 'Parallel Media', 'Flipside', 'Zero Hour']",United States,"['English', 'English']","['Stoner Comedy', 'Narcotics', 'Graduation', 'Revenge', 'Stoner Comedy', 'Narcotics', 'Graduation', 'Revenge']"
69,Severance#tab=summary,"['Comedy', 'Comedy']","['Qwerty Films', 'UK Film Council', 'Isle of Man Film', 'Dan Films', 'N1 European Film Produktions GmbH & Company', 'Qwerty Films', 'UK Film Council', 'Isle of Man Film', 'Dan Films', 'N1 European Film Produktions GmbH & Company']",Germany,[],[]
70,Edmond#tab=summary,"['Black Comedy', 'Black Comedy']",[], ,[],[]
71,Joheunnom-nabbeunnom-isanghannom#tab=summary,"['Action', 'Action']",[],Republic of Korea,"['Korean', 'Korean']","['Foreign Language', 'Foreign Language']"
72,Police-Academy-7-Mission-to-Moscow#tab=summary,"['Comedy', 'Comedy']","['Warner Bros.', 'Warner Bros.']",United States,"['English', 'English']","['Mafia', 'Mafia']"
73,Blood-Done-Sign-My-Name#tab=summary,"['Drama', 'Drama']",[],United States,"['English', 'English']",[]
74,Good-Guy-The#tab=summary,"['Romantic Comedy', 'Romantic Comedy']",[],United States,"['English', 'English']","['Romance', 'Romance']"
75,Motherhood#tab=summary,"['Comedy', 'Comedy']",[],United States,"['English', 'English']",[]
76,Triple-Threat-(2019-Thailand)#tab=summary,"['Thriller/Suspense', 'Thriller/Suspense']","['Aurora Alliance', 'SC Films Thailand', 'Hamilton Entertainment', 'Arclight Films International', 'Well Go USA Entertainment', 'Lobsand Productions Limited', 'Beijing Manyougu Information and Technology Company LTD', 'Kungfuman Culture Media LTD', 'Beijing Fan', 'Jin Visual', 'Media Culture Communications Company', 'Liehe Pictures Culture Media Beijing Co LTD', 'Aurora Alliance', 'SC Films Thailand', 'Hamilton Entertainment', 'Arclight Films International', 'Well Go USA Entertainment', 'Lobsand Productions Limited', 'Beijing Manyougu Information and Technology Company LTD', 'Kungfuman Culture Media LTD', 'Beijing Fan', 'Jin Visual', 'Media Culture Communications Company', 'Liehe Pictures Culture Media Beijing Co LTD']",China,"['English', 'Thai', 'English', 'Thai']","['Mercenaries', 'Hitmen', 'Organized Crime', 'Martial Arts', 'Terrorism', 'Prison Break', 'Betrayal', 'Death of a Spouse or Fiancée / Fiancé', 'Underground / Illegal Fighting', 'Mercenaries', 'Hitmen', 'Organized Crime', 'Martial Arts', 'Terrorism', 'Prison Break', 'Betrayal', 'Death of a Spouse or Fiancée / Fiancé', 'Underground / Illegal Fighting']"
77,Eulogy#tab=summary,"['Comedy', 'Comedy']",[], ,[],"['Dysfunctional Family', 'Funeral Reunions', 'Dysfunctional Family', 'Funeral Reunions']"
78,Elsa-and-Fred-(2014)#tab=summary,"['Comedy', 'Comedy']","['Cuatro Plus Films', 'Defiant Pictures', 'Creative Andina', 'Rio Negro', 'Riverside Entertainment Group', 'Media House Capital', 'Cuatro Plus Films', 'Defiant Pictures', 'Creative Andina', 'Rio Negro', 'Riverside Entertainment Group', 'Media House Capital']",United States,"['English', 'English']","['Early / Simultaneous Video-on-Demand release', 'Autumn Years', 'Romance', 'December Romance', 'Remake', 'Foreign-Language Remake', 'Early / Simultaneous Video-on-Demand release', 'Autumn Years', 'Romance', 'December Romance', 'Remake', 'Foreign-Language Remake']"
79,Alabama-Moon#tab=summary,"['Adventure', 'Adventure']",[],United States,"['English', 'English']","['Orphan', 'Coming of Age', 'Boarding School', 'New Guy/Girl in School', 'Road Trip', 'Conspiracy Theory', 'Survivalist', 'Set in Alabama', 'Orphan', 'Coming of Age', 'Boarding School', 'New Guy/Girl in School', 'Road Trip', 'Conspiracy Theory', 'Survivalist', 'Set in Alabama']"
80,Alan-Smithee-Film-Burn-Hollywood-Burn-An#tab=summary,"['Comedy', 'Comedy']","['Hollywood Pictures', 'Cinergi Pictures Entertainment', 'Hollywood Pictures', 'Cinergi Pictures Entertainment']",United States,"['English', 'English']","['Mockumentary', 'Movie Business', 'Mockumentary', 'Movie Business']"
81,Open-Road-The#tab=summary,"['Drama', 'Drama']",[],United States,"['English', 'English']",[]
82,Strangerland#tab=summary,"['Drama', 'Drama']","['Dragonfly Pictures', 'Fastnet Films', 'Worldview Entertainment', 'Dragonfly Pictures', 'Fastnet Films', 'Worldview Entertainment']",Australia,"['English', 'English']","['Early / Simultaneous Video-on-Demand release', 'Australia', 'Extreme Weather', 'Missing Child', 'Missing Person', 'Early / Simultaneous Video-on-Demand release', 'Australia', 'Extreme Weather', 'Missing Child', 'Missing Person']"
83,Hross-i-oss#tab=summary,"['Comedy', 'Comedy']","['Leiknar Myndir', 'Gulldrengurinn', 'Mogador Film', 'Hughrif', 'Filmhuset Fiction', 'Leiknar Myndir', 'Gulldrengurinn', 'Mogador Film', 'Hughrif', 'Filmhuset Fiction']",Germany,"['Icelandic', 'Icelandic']","['Romance', 'Animal Lead', 'Romance', 'Animal Lead']"
84,Janky-Promoters#tab=summary,"['Comedy', 'Comedy']","['Cubevision', 'Cubevision']",United States,"['English', 'English']",[]
85,Blonde-Ambition#tab=summary,"['Comedy', 'Comedy']",[],United States,"['English', 'English']",[]
86,Oxford-Murders-The#tab=summary,"['Thriller/Suspense', 'Thriller/Suspense']","['Tornasol Films', 'Telecinco Cinema', 'La Fabrique de Films', 'Tele 5', 'Canal Plus', 'Tornasol Films', 'Telecinco Cinema', 'La Fabrique de Films', 'Tele 5', 'Canal Plus']",France,"['English', 'English']","['Surprise Twist', 'Higher Education', 'Academics', 'Serial Killer', 'Surprise Twist', 'Higher Education', 'Academics', 'Serial Killer']"
87,Barbecue#tab=summary,"['Comedy', 'Comedy']",[],France,"['French', 'French']",[]
88,T34-(Russia)(2018)#tab=summary,"['Drama', 'Drama']",[],Russian Federation,"['Russian', 'Russian']",[]
89,Reef-The#tab=summary,"['Thriller/Suspense', 'Thriller/Suspense']",[],Australia,"['English', 'English']",[]
90,White-Noise-2-The-Light#tab=summary,"['Horror', 'Horror']","['Gold Circle Films', 'Gold Circle Films']",Canada,"['English', 'English']",[]
91,Jessabelle#tab=summary,"['Horror', 'Horror']","['Blumhouse', 'Lionsgate', 'Principato-Young Entertainment', 'Blumhouse', 'Lionsgate', 'Principato-Young Entertainment']",United States,"['English', 'English']","['Car Accident', 'Set in Louisiana', 'Wheelchair User', 'Troubled Pregnancy or Miscarriage', 'Death of a Spouse or Fiancée / Fiancé', 'Young Child Dealing with the Death of a Parent', 'Widow/Widower', 'Voodoo', 'Dream Sequence', 'Hallucinations', 'Surprise Twist', 'Interracial Romance', 'Infidelity', 'Possessed', 'Familicide', 'Car Accident', 'Set in Louisiana', 'Wheelchair User', 'Troubled Pregnancy or Miscarriage', 'Death of a Spouse or Fiancée / Fiancé', 'Young Child Dealing with the Death of a Parent', 'Widow/Widower', 'Voodoo', 'Dream Sequence', 'Hallucinations', 'Surprise Twist', 'Interracial Romance', 'Infidelity', 'Possessed', 'Familicide']"
92,American-Heist#tab=summary,"['Action', 'Action']","['Glacier Films', 'Maple Leaf Capital', 'LLC Primeredian Entertainment', 'NGN Productions', 'Glacier Films', 'Maple Leaf Capital', 'LLC Primeredian Entertainment', 'NGN Productions']",Canada,"['English', 'English']","['Early / Simultaneous Video-on-Demand release', 'Heist', 'One Last Job', 'Life on the Outside', 'Going Legit', 'Organized Crime', 'Early / Simultaneous Video-on-Demand release', 'Heist', 'One Last Job', 'Life on the Outside', 'Going Legit', 'Organized Crime']"
93,Coda-(2021)#tab=summary,"['Drama', 'Drama']","['Apple Original Films', 'Vendome Pictures', 'Pathe', 'Apple Original Films', 'Vendome Pictures', 'Pathe']",United States,"['English', 'Sign Language', 'English', 'Sign Language']","['Deaf', 'Coming-of-Age Drama', 'Coming of Age', 'Singers', 'Fishing', 'Father’s Footsteps', 'Massachusetts', 'Foreign-Language Remake', 'Remake', 'Sundance Film Festival 2021', '2022 Oscars Best Picture Nominee', 'Oscars Best Picture Winner', 'Deaf', 'Coming-of-Age Drama', 'Coming of Age', 'Singers', 'Fishing', 'Father’s Footsteps', 'Massachusetts', 'Foreign-Language Remake', 'Remake', 'Sundance Film Festival 2021', '2022 Oscars Best Picture Nominee', 'Oscars Best Picture Winner']"
94,Its-a-Wonderful-Afterlife#tab=summary,"['Comedy', 'Comedy']","['The Indian Film Company', 'Bend It Films', 'Studio 18', 'The Indian Film Company', 'Bend It Films', 'Studio 18']",United Kingdom,"['English', 'English']","['Serial Killer', 'Haunting', 'Food', 'Romance', 'Serial Killer', 'Haunting', 'Food', 'Romance']"
95,You-Got-Served-Beat-The-World#tab=summary,"['Drama', 'Drama']",[],Canada,"['English', 'English']",[]
96,Fifty-Dead-Men-Walking#tab=summary,"['Drama', 'Drama']","['Future Films', 'Brightlight Pictures', 'Altitude Film Entertainment', 'SBK Pictures Limited', 'Telefilm Canada', 'Northern Ireland Screen', 'Grove Media Finance Limited', 'HandMade Films International', 'Horizon Media Fund', 'Canadian Film or Video Production Tax Credit', 'Future Films', 'Brightlight Pictures', 'Altitude Film Entertainment', 'SBK Pictures Limited', 'Telefilm Canada', 'Northern Ireland Screen', 'Grove Media Finance Limited', 'HandMade Films International', 'Horizon Media Fund', 'Canadian Film or Video Production Tax Credit']",Canada,"['English', 'English']",[]
97,Plastic#tab=summary,"['Action', 'Action']","['Gateway Films', 'Gateway Films']",United Kingdom,"['English', 'English']","['College', 'White Collar Crime', 'Organized Crime', 'Heist', 'College', 'White Collar Crime', 'Organized Crime', 'Heist']"
98,Message-from-the-King#tab=summary,"['Thriller/Suspense', 'Thriller/Suspense']",[], ,[],[]
99,Nurse-3D#tab=summary,"['Horror', 'Horror']","['Lionsgate', 'Lionsgate']",United States,"['English', 'English']","['Medical and Hospitals', 'Serial Killer', 'Infidelity', '3-D', 'Early / Simultaneous Video-on-Demand release', 'Nurse', '3-D - Shot in 3-D', 'Prologue', 'Intertitle', 'Non-Chronological', 'False Identity', 'Medical and Hospitals', 'Serial Killer', 'Infidelity', '3-D', 'Early / Simultaneous Video-on-Demand release', 'Nurse', '3-D - Shot in 3-D', 'Prologue', 'Intertitle', 'Non-Chronological', 'False Identity']"
100,Jungle-Shuffle-(Mexico-South-Korea)#tab=summary,"['Adventure', 'Adventure']",[],Republic of Korea,"['English', 'English']",[]
101,Ethel-and-Ernest-(UK)#tab=summary,"['Drama', 'Drama']",[],United Kingdom,"['English', 'English']",[]
102,Adam-Resurrected-(2009)#tab=summary,"['Drama', 'Drama']",[],Germany,"['English', 'English']",[]
